Nc1ccc(cc1)F	L6J BZ EF
Oc1ccc(cc1)F	L6J BQ EF
Sc1ccc(cc1)F	L6J BSH EF
Nc1ccc(cc1)SC(F)(F)F	L6J BZ ESXFFF
Nc1cccc(c1)F	L6J BZ DF
Oc1cccc(c1)F	L6J BQ DF
Nc1cc(cc(c1)F)F	L6J BZ DF FF
C(=O)(c1c(cccc1F)F)O	L6J AF BVQ CF
Nc1cc(c(cc1)[N+](=O)[O-])C(F)(F)F	L6J BZ EKW FXFFF
c1(c(cc(cc1)C(F)(F)F)[N+](=O)[O-])O	L6J AKW BQ EXFFF
Nc1c(cccc1C(F)(F)F)Cl	L6J AG BZ CXFFF
Nc1cc(c(cc1)C(F)(F)F)Cl	L6J BZ EXFFF FG
Nc1c(ccc(c1)Cl)C(F)(F)F	L6J AXFFF BZ DG
C(=O)(c1ccccc1F)O	L6J BVQ CF
C(=O)(c1c(cc(cc1)Cl)F)O	L6J AF BVQ EG
C(=O)c1ccccc1F	L6J BV CF
C(=O)c1ccccc1C(F)(F)F	L6J BV CXFFF
C(=O)(c1cc(ccc1)S(=O)(=O)F)O	L6J BVQ FSWF
C(=O)c1ccc(cc1)C(F)(F)F	L6J BV EXFFF
C(=O)(c1ccc(cc1)S(=O)(=O)F)O	L6J BVQ ESWF
C(=O)(c1cccc(c1)F)O	L6J BVQ DF
C(=O)(c1ccc(c(c1)F)F)O	L6J BVQ DF EF
C(=O)c1cc(ccc1)F	L6J BV FF
C(=O)c1ccc(cc1)F	L6J BV EF
Nc1ccc(cc1)OC(F)(F)F	L6J BZ EOXFFF
N=C(c1ccc(cc1)N(C)C)c1ccc(cc1)N(C)C	L6J BY- BL6J EN1&1&UM EN1&1
C(=O)(c1cc(cc(c1)C)C)O	L6J BVQ D1 F1
C(=O)(c1c(cccc1)C1c2ccc(cc2Oc2cc(ccc12)O)O)O	L6J A- BL C666 IO AU- J HU- C &T&J FQ LQ& BVQ
Clc1c(c(c(c(c1N)Cl)Cl)Cl)Cl	L6J AG BG CZ DG EG FG
C(=O)(c1cc(c(cc1)[N+](=O)[O-])[N+](=O)[O-])O	L6J BVQ EKW FKW
C(=O)c1ccccc1N	L6J BV CZ
C(=O)(c1cccc(c1)Cl)O	L6J BVQ DG
C(=O)(c1cc(cc(c1)N)N)O	L6J BVQ DZ FZ
N(=Nc1ccc(N)cc1)c1ccc(N)cc1	L6J BNUN- BL6J EZ& EZ
N(=Cc1ccccc1)c1ccccc1	L6J B1UN- BL6J
N(=Nc1ccc(N)cc1)c1ccc(N(C)C)cc1	L6J BNUN- BL6J EN1&1& EZ
Ic1ccc(N)cc1	L6J BI EZ
C(=O)(c1ccccc1[N+](=O)[O-])O	L6J BVQ CKW
C(=O)c1c(cccc1)[N+](=O)[O-]	L6J AKW BV
Nc1c(cc(cc1)Cl)Cl	L6J AG BZ EG
C(=O)c1ccc(cc1)[N+](=O)[O-]	L6J BV EKW
C(=O)c1ccc(cc1)N	L6J BV EZ
C(=C1C=CC(=N)C=C1)(c1ccc(cc1)N)c1ccc(cc1)N.Cl	L6 CU FUTJ BUY- BL6J EZ&- BL6J EZ& EUM &GH
C(=O)(c1c(cccc1)C(=O)C)O	L6J AV1 BVQ
Nc1c(cccc1)CC	L6J A2 BZ
