Z1YQ1	CC(CN)O
T5O COTJ B2 B1	CCC1(OCCO1)C
OCNR B1 D1R C1 DNCO	CC1=C(C=CC(=C1)CC2=CC(=C(C=C2)N=C=O)C)N=C=O
T36 BOTJ F1 EVO1-ET36 BOTJ F1	CC1CC2C(O2)CC1COC(=O)C3CC4C(O4)CC3C
ZM2R & WSQQALACINEALAZINEEP-411ESTINERVALFENELSINFENETSINFENELZINAFENIZINKALGANMAO-REMMONOFENMONOPHENMONOTEN	C1=CC=C(C=C1)CCNN.OS(=O)(=O)O
ZY1&2Z	CC(CCN)N
QV3U1	C=CCCC(=O)O
ZVXGGG	C(=O)(C(Cl)(Cl)Cl)N
WNYG1	CC([N+](=O)[O-])Cl
WNY1&NW	CC([N+](=O)[O-])[N+](=O)[O-]
T6N DOTJ A2Q	C1COCCN1CCO
G2O2O2O2G	C(COCCCl)OCCOCCCl
T5OTJ BNW E- ET5NN DSJ CZ	C1=C(OC(=C1)[N+](=O)[O-])C2=NN=C(S2)N
L6V DVJ BO2O1 EO2O1 C- AT3NTJ& F- AT3NTJ	COCCOC1=C(C(=O)C(=C(C1=O)N2CC2)OCCOC)N3CC3
G2N2G2G &GH	C(CCl)N(CCCl)CCCl.Cl
O-SN-4&4	CCCC[Sn](=O)CCCC
1VOYOV1&1U1	CC(=O)OC(C=C)OC(=O)C
NC1N1&1	CN(C)CC#N
QR BQ CQ EVO8	CCCCCCCCOC(=O)C1=CC(=C(C(=C1)O)O)O
FR BE	C1=CC=C(C(=C1)F)Br
VHO2U1	C=CCOC=O
T56 BMNNJ HNW	C1=CC2=NNN=C2C=C1[N+](=O)[O-]
T I6 G6 F6 D5 C666 BV EM HV OV XVJ QMVR& VMVR	C1=CC=C(C=C1)C(=O)NC2=C3C(=C4C(=C2)C5=CC(=C6C(=C5N4)C(=O)C7=CC=CC=C7C6=O)NC(=O)C8=CC=CC=C8)C(=O)C9=CC=CC=C9C3=O
T35 BOTJ DO- DT35 BOTJ	C1CC(C2C1O2)OC3CCC4C3O4
S-SN-4&4	CCCC[Sn](=S)CCCC
L66J BNUNR DNUNR&& CM2	CCNC1=C(C2=CC=CC=C2C=C1)N=NC3=CC=C(C=C3)N=NC4=CC=CC=C4
GD G3	Cl[Gd](Cl)Cl
SM G3	Cl[Sm](Cl)Cl
1Y1&1OBO1Y1&1&O1Y1&1	B(OCC(C)C)(OCC(C)C)OCC(C)C
G1O2O1G	C(COCCl)OCCl
ZR DR DZ &GH 2	C1=CC(=CC=C1C2=CC=C(C=C2)N)N.Cl
T B656 HNJ DZ H2 &GH	CCN1C2=C(C=C(C=C2)N)C3=CC=CC=C31.Cl
2O-SI-1&1&O2	CCO[Si](C)(C)OCC
1UU1Y1&U1	CC(=C)C#C
T6N DOTJ AR	C1COCCN1C2=CC=CC=C2
Q2N1&R	CN(CCO)C1=CC=CC=C1
1YR&OY1&R	CC(C1=CC=CC=C1)OC(C)C2=CC=CC=C2
4Y2&VO1U1	CCCCC(CC)C(=O)OC=C
T C666 BNJ EN1&1 MN1&1	CN(C)C1=CC2=C(C=C1)C=C3C=CC(=CC3=N2)N(C)C
T6N CN ENJ B- D- F-/N1Q1Q 3	C(N(CO)C1=NC(=NC(=N1)N(CO)CO)N(CO)CO)O
T6N CN ENJ BN1Q1Q DN1Q1Q FN1Q1Q	C(N(CO)C1=NC(=NC(=N1)N(CO)CO)N(CO)CO)O
T6M DNTJ DYR&R DG &GH	CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.Cl
T6N DNTJ AYR&R DG& D &GH	CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.Cl
T6MTJ COVXQR&R& C2	CCN1CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O
T6NTJ A- AL6TJ ACN	C1CCC(CC1)(C#N)N2CCCCC2
QR BVO8	CCCCCCCCOC(=O)C1=CC=CC=C1O
T3OTJ B1OV18	CCCCCCCCCCCCCCCCCC(=O)OCC1CO1
TL E	Br[Tl]
TL I	I[Tl]
RB G	[Cl-].[Rb+]
L66J BO1YQ1MY1 & 1 & GH	CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O.Cl
T56 ANVNNJ C3- AT6N DNTJ DR CG &GH	C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl.Cl
ZY1 & YQR & GH-R	CC(C(C1=CC=CC=C1)O)N.Cl
T66 BVN ENJ CR B1 & D1	CC1=CC=CC=C1N2C(=NC3=CC=CC=C3C2=O)C.Cl
T66 BMVMVJ	C1=CC=C2C(=C1)C(=O)NC(=O)N2
T56 BN DN FNVNVJ B1 CE F1 H1	CN1C2=C(N=C1Br)N(C(=O)N(C2=O)C)C
T66 B6 A B- C 1B I ASWN DNSWN HNTJ	C1N2CN3CN(S2(=O)=O)CN1S3(=O)=O
L66 B6 A B- C 1B ITJ BZ &GH	C1C2CC3CC1CC(C2)(C3)N.Cl
VHXGGYG1	CC(C(C=O)(Cl)Cl)Cl
T C666 BS IHJ I1- CT6NTJ A1 &GH	CN1CCCC(C1)CC2C3=CC=CC=C3SC4=CC=CC=C24.Cl
T56 BO DO CHJ G2VQ	C1OC2=C(O1)C=C(C=C2)CCC(=O)O
T B656 EN HMJ	C1=CC=C2C(=C1)C3=C(N2)C=NC=C3
WNR D1YZVQ	C1=CC(=CC=C1CC(C(=O)O)N)[N+](=O)[O-]
WNR D1YZVQ -L	C1=CC(=CC=C1CC(C(=O)O)N)[N+](=O)[O-]
T C676 BN&T&J B3M1 &GH	CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl
3XR&R&VO2N2&2 &GH	CCCC(C1=CC=CC=C1)(C2=CC=CC=C2)C(=O)OCCN(CC)CC.Cl
ZX1 & 1 & 1R DG & GH	CC(C)(CC1=CC=C(C=C1)Cl)N.Cl
T5KTJ A1R& A1 COV1 &E	CC(=O)OC1CC[N+](C1)(C)CC2=CC=CC=C2.[Br-]
T C666 BN ISJ EO1 B2- BT6NTJ A1	CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)OC
T C666 BK INJ BR& EZ MZ &G	C1=CC=C(C=C1)[N+]2=C3C=C(C=CC3=NC4=C2C=C(C=C4)N)N.[Cl-]
T C666 BK INJ BR& EZ MZ &G &9/26	C1=CC=C(C=C1)[N+]2=C3C=C(C=CC3=NC4=C2C=C(C=C4)N)N.[Cl-]
T C666 BN ISJ BVO2N2 & 2 & GH	CCN(CC)CCOC(=O)N1C2=CC=CC=C2SC3=CC=CC=C31.Cl
L6UTJ DCN	C1CC(CC=C1)C#N
1VOY1Q1OV1	CC(=O)OCC(CO)OC(=O)C
VHR DCN	C1=CC(=CC=C1C=O)C#N
T36 BOTJ E1OV1 F	CC1CC2C(O2)CC1COC(=O)C
T C666 BN ISJ ES1 B2-BT6NTJ A1 & GH	CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC.Cl
T C666 BN ISJ B3N1&1 EXFFF	CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F.Cl
ZMV4VMZ	C(CCC(=O)NN)CC(=O)NN
T6NMVMVJ F- BT5OJ ENW	C1=C(OC(=C1)[N+](=O)[O-])C2=NNC(=O)NC2=O
T77 B7/B-J/EK A B- C D 1B K BN EN GN JNJ	C1CN2CN3CCN(C2)CN1C3
QR BQ DV1M1 &GH	CNCC(=O)C1=CC(=C(C=C1)O)O.Cl
QY1&XGGG	CC(C(Cl)(Cl)Cl)O
1U2OVR CVO2U1	C=CCOC(=O)C1=CC(=CC=C1)C(=O)OCC=C
ND G3	Cl[Nd](Cl)Cl
DY G3	Cl[Dy](Cl)Cl
T6O CO EXTJ B1U1 E-& ET6O CO EXTJ B1U1	C=CC1OCC2(CO1)COC(OC2)C=C
.GE..G4	Cl[Ge](Cl)(Cl)Cl
GXFGVXGFF	C(=O)(C(F)(F)Cl)C(F)(Cl)Cl
WS1&MR DYQ1MY1&1 &GH	CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O.Cl
T5KTJ A2 A2 COVXQR&R &Q &E	CC[N+]1(CCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)CC.[Br-]
L E5 B666 OV MUTJ E2 FQ F2	CCC12CCC3C(C1CCC2(CC)O)CCC4=CC(=O)CCC34
T6NJ D- AL3TJ BXQR&R &GH	C1C(C1C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C4=CC=NC=C4.Cl
L56 BHJ B2N1&1 BR &GH	CN(C)CCC1(C=CC2=CC=CC=C21)C3=CC=CC=C3.Cl
T67 GNV KS&TJ G2N1&1 JR &GH	CN(C)CCN1C(=O)CC(SC2=CC=CC=C21)C3=CC=CC=C3.Cl
T6MTJ B- DT5O COTJ BR& BR &GH	C1CCNC(C1)C2COC(O2)(C3=CC=CC=C3)C4=CC=CC=C4.Cl
PR G3	Cl[Pr](Cl)Cl
ZX1&1&1R BG	CC(C)(CC1=CC=CC=C1Cl)N.Cl
QXR&R&VO2N2&2 &GH	CCN(CC)CCOC(=O)C(C1=CC=CC=C1)(C2=CC=CC=C2)O.Cl
Z2R DQ &G	C1=CC(=CC=C1CCN)O.Cl
L C666 BV IVJ DMVR& GZ	C1=CC=C(C=C1)C(=O)NC2=C3C(=C(C=C2)N)C(=O)C4=CC=CC=C4C3=O
L C6666 1A Q IVJ FE OE	C1=CC2=C(C=CC3=C2C(=C1)C(=O)C4=C3C=CC(=C4)Br)Br
QVR BQ DQ FQ	C1=C(C=C(C(=C1O)C(=O)O)O)O
L C666 BV IVJ EMV1 FG	CC(=O)NC1=C(C=C2C(=C1)C(=O)C3=CC=CC=C3C2=O)Cl
T5NNV DHJ BR BG EG DSWQ& E1	CC1=NN(C(=O)C1)C2=CC(=C(C=C2Cl)S(=O)(=O)O)Cl
2N2&2OYR&R &GH	CCN(CC)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.Cl
QR BG CG EG FG DQ	C1(=C(C(=C(C(=C1Cl)Cl)O)Cl)Cl)O
ZR BSWQ EZ	C1=CC(=C(C=C1N)N)S(=O)(=O)O
T C666 BN INJ E1 FZ LQ	CC1=CC2=NC3=C(C=C(C=C3)O)N=C2C=C1N
NC1R CO1 DO1	COC1=C(C=C(C=C1)CC#N)OC
T56 BN DSJ CS1MVM1S- CT56 BN DSJ	C1=CC=C2C(=C1)N=C(S2)SCNC(=O)NCSC3=NC4=CC=CC=C4S3
L5V BUTJ B6	CCCCCCC1=CCCC1=O
G1VM1	CNC(=O)CCl
WSQR BZ ENW	C1=CC(=C(C=C1[N+](=O)[O-])S(=O)(=O)O)N
WNR BZ EO1	COC1=CC(=C(C=C1)N)[N+](=O)[O-]
ZSWR DG	C1=CC(=CC=C1S(=O)(=O)N)Cl
WNR D-AS-QQO	C1=CC(=CC=C1[N+](=O)[O-])[As](=O)(O)O
QBQR	B(C1=CC=CC=C1)(O)O
1K1 & 1 & 1R & Q	C[N+](C)(C)CC1=CC=CC=C1.[OH-]
1VMVMR	CC(=O)NC(=O)NC1=CC=CC=C1
T6N DNTJ A2N1 & 1 D1	CN1CCN(CC1)CCN(C)C
1Y1 & OYUS & SSYUS & OY1 & 1	CC(C)OC(=S)SSC(=S)OC(C)C
T5NN DSJ C1 E1	CC1=NN=C(S1)N
ZVMNUY1 & 1	CC(=NNC(=O)N)C
T6NJ B2O1	COCCC1=CC=CC=N1
T6VMVMV FHJ F5 F2	CCCCCC1(C(=O)NC(=O)NC1=O)CC
QVR BM1	CNC1=CC=CC=C1C(=O)O
WNR CO1 FMV1	CC(=O)NC1=C(C=C(C=C1)OC)[N+](=O)[O-]
T66 BMT & J HO1	COC1=CC2=C(C=C1)NCCC2
2OYO2 & 1YO2 & O2	CCOC(CC(OCC)OCC)OCC
T6N DNTJ A2Q D2Q	C1CN(CCN1CCO)CCO
NCYCN & 1O2	CCOC=C(C#N)C#N
2N2&2N2&2N2&2	CCN(CC)CCNCCN(CC)CC
ZMV1K1 & 1 & 1 & G	C[N+](C)(C)CC(=O)NN.[Cl-]
ZV1O2Q	C(COCC(=O)N)O
QNUY1 & 1	CC(=NO)C
T5VNVTJ BE	C1CC(=O)N(C1=O)Br
ROPO & OR & OR BR	C1=CC=C(C=C1)C2=CC=CC=C2OP(=O)(OC3=CC=CC=C3)OC4=CC=CC=C4
ZSWR D1Z & GH	C1=CC(=CC=C1CN)S(=O)(=O)N.Cl
L C666 BV IVJ DZ GQ KZ NQ	C1=CC(=C2C(=C1N)C(=O)C3=C(C=CC(=C3C2=O)N)O)O
T66 BKJ B12 C1 EZ & Q & OV1	CCCCCCCCCCCC[N+]1=C(C=C(C2=CC=CC=C21)N)C.CC(=O)[O-]
T B676 IN & T & J I2U1 & P-O4	C=CCN1CC2=CC=CC=C2C3=CC=CC=C3C1.OP(=O)(O)O
T6NJ BN2N1 & 1 & 1-BT5SJ EG & GH	CN(C)CCN(CC1=CC=C(S1)Cl)C2=CC=CC=N2.Cl
T6NJ B1 CQ D1 E1Q & GH	CC1=C(C(=NC=C1CO)C)O.Cl
RM2MR	C1=CC=C(C=C1)NCCNC2=CC=CC=C2
T6N CNJ BZ DO1	COC1=NC(=NC=C1)N
T6NJ CNUNR DN1 & 1	CN(C)C1=CC=C(C=C1)N=NC2=CN=CC=C2
T6N CNJ BZ DZ	C1=CN=C(N=C1N)N
T G6 E6 C666 DN ONJ	C1=CC=C2C=C3C(=CC2=C1)N=C4C=C5C=CC=CC5=CC4=N3
T56 BVNVJ CY1 & 1	CC(C)N1C(=O)C2=CC=CC=C2C1=O
4K4 & 4 & 4 & I	CCCC[N+](CCCC)(CCCC)CCCC.[I-]
L D6 B666J H1 L1	CC1=C2C=C3C(=CC4=CC=CC=C4C3=CC2=CC=C1)C
GR CG EG BF DF FF	C1(=C(C(=C(C(=C1Cl)F)Cl)F)Cl)F
T66 BN EN JNJ	C1=CC2=NC=CN=C2N=C1
T56 BMJ D2Z & GH	C1=CC=C2C(=C1)C(=CN2)CCN.Cl
FXFFVMR B1	CC(=O)NC1=CC=CC=C1C(F)(F)F
T5N CSJ BZ DMVO2 EXFFF	CCOC(=O)C1=C(N=C(S1)N)C(F)(F)F
WS1 & O6F	CS(=O)(=O)OCCCCCCF
ZVMVR D1MM1 &EH	CNNCC1=CC=C(C=C1)C(=O)NC(=O)N.Br
WSFR	C1=CC=C(C=C1)S(=O)(=O)F
ZR CSWF	C1=CC(=CC(=C1)S(=O)(=O)F)N
QVXFFXFFVQ	C(=O)(C(C(C(=O)O)(F)F)(F)F)O
QYQXFFF	C(C(F)(F)F)(O)O
VHXFFF &QH	C(C(F)(F)F)(O)O
QNU1V1F	C(C(=O)C(=O)O)F
ZR BF D1	CC1=CC(=C(C=C1)N)F
F1YQ1F	C(C(CF)O)F
G2NFV1	C(CCl)NC(=O)CF
WS1&O2F	CS(=O)(=O)OCCF
T6NMVMVJ	C1=NNC(=O)NC1=O
ZR CQ DVO2N2&2	CCN(CC)CCOC(=O)C1=C(C=C(C=C1)N)O
QR BQ C15	CCCCCCCCCCCCCCCC1=C(C(=CC=C1)O)O
T5OJ BVV- BT5OJ	C1=COC(=C1)C(=O)C(=O)C2=CC=CO2
WNR CQ B1 ENW	CC1=C(C=C(C=C1O)[N+](=O)[O-])[N+](=O)[O-]
T56 A AMTJ GQ	C1CC2CC(CC1N2)O
R-AS-R&R&R &G	C1=CC=C(C=C1)[As+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-]
ZVVMZ	C(=O)(C(=O)NN)N
T6MVMVJ EN2G2G F1	CC1=C(C(=O)NC(=O)N1)N(CCCl)CCCl
T C666 BS EY INJ EUN1 MN1&1 &GH	CNC1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-]
T C666 BN ISJ FN1&1 LM1 &G &12/26	CNC1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-]
T6N DNTJ AVO2 D &GH	CCOC(=O)N1CCN(CC1)C.Cl
T56 BO DO CHJ GQ	C1OC2=C(O1)C=C(C=C2)O
ZR BQ E-AS-GG &GH	C1=CC(=C(C=C1[As](Cl)Cl)N)O.Cl
T6NTJ A2VR DO4 &GH	CCCCOC1=CC=C(C=C1)C(=O)CCN2CCCCC2.Cl
T56 BN DN FMVMVJ B1	CN1C=NC2=C1C(=O)NC(=O)N2
T5OJ CV2Y1&1	CC(C)CCC(=O)C1=COC=C1
1OR BO1 CO1 EVM1R DO2N1&1 &GH	CN(C)CCOC1=CC=C(C=C1)CNC(=O)C2=CC(=C(C(=C2)OC)OC)OC.Cl
WNR D1CN	C1=CC(=CC=C1CC#N)[N+](=O)[O-]
T6N CNJ BMSWR CZ& EG	C1=CC(=CC(=C1)S(=O)(=O)NC2=NC=C(C=N2)Cl)N
L E5 B666TTT&J E1 FQ OQ 17-ALPHA	CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
T55 AN DN FS DUTJ CR &GH -R	C1CSC2=NC(CN21)C3=CC=CC=C3.Cl
Q2MVNNO&2G	C(CO)NC(=O)N(CCCl)N=O
T6MTJ B1 F1	CC1CCCC(N1)C
QR BG DG FSO&R BQ CG EG	C1=C(C=C(C(=C1S(=O)C2=C(C(=CC(=C2)Cl)Cl)O)O)Cl)Cl
T6N CNJ DZ	C1=CN=CN=C1N
WS1&O4F	CS(=O)(=O)OCCCCF
L6V DHJ BG CG DG DG EG FG	C1(=C(C(C(=C(C1=O)Cl)Cl)(Cl)Cl)Cl)Cl
WNR BZ CNW	C1=CC(=C(C(=C1)[N+](=O)[O-])N)[N+](=O)[O-]
T56 BM DN FN HNJ IS2VQ	C1=NC2=C(N1)C(=NC=N2)SCCC(=O)O
NCR B1G	C1=CC=C(C(=C1)CCl)C#N
1Y1&1VO1YOV1Y1&1&1OV1Y1&1	CC(C)CC(=O)OCC(COC(=O)CC(C)C)OC(=O)CC(C)C
NC1R C1CN	C1=CC(=CC(=C1)CC#N)CC#N
1Y1&2OYQO2Y1&1	CC(C)CCOCC(COCCC(C)C)O
T56 BM DN FMYMVJ GUM &GH	null
T66 BOJ CR DQ CO1 EO1& DQ GQ IQ &G	COC1=CC(=CC(=C1O)OC)C2=[O+]C3=CC(=CC(=C3C=C2O)O)O.[Cl-]
2SPS2&S2	CCSP(SCC)SCC
G2OYO2G2O2G	C(COCCCl)C(OCCCl)OCCCl
T6MVMVJ FI	C1=C(C(=O)NC(=O)N1)I
ZSWR DE	C1=CC(=CC=C1S(=O)(=O)N)Br
T6VMVMJ EVQ FF	C1(=C(NC(=O)NC1=O)C(=O)O)F
T5SJ BV- BT5SJ	C1=CSC(=C1)C(=O)C2=CC=CS2
T6N CN ENJ BZ DZ F- BT5OJ ENW	C1=C(OC(=C1)[N+](=O)[O-])C2=NC(=NC(=N2)N)N
1X1&1&R BQ ENW CX1&1&1	CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)[N+](=O)[O-]
2OV1UU1VO2	CCOC(=O)C#CC(=O)OCC
NCS12	CCCCCCCCCCCCSC#N
T56 BNSNJ FZ	C1=CC2=NSN=C2C(=C1)N
T6NJ AO B1 E2	CCC1=C[N+](=C(C=C1)C)[O-]
ZR DVMR	C1=CC=C(C=C1)NC(=O)C2=CC=C(C=C2)N
L D6 B666J C1 J1 MF	CC1=C2C=C(C3=CC=CC=C3C2=C(C4=CC=CC=C14)C)F
Z11Z &GH 2	C(CCCCCN)CCCCCN
T5NTJ A2VR &GH	C1CCN(C1)CCC(=O)C2=CC=CC=C2.Cl
RV1UPR&R&R	C1=CC=C(C=C1)C(=O)C=P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4
GXGGPO&O2&O2	CCOP(=O)(C(Cl)(Cl)Cl)OCC
T6KJ A1 B1 &Q &I	CC1=CC=CC=[N+]1C.[I-]
T6MVMVJ FZ	C1=C(NC(=O)NC1=O)N
QVR BQ CO1	COC1=CC=CC(=C1O)C(=O)O
L6TJ AN2G2G &GH	C1CCC(CC1)N(CCCl)CCCl.Cl
T6NTJ A2VR &GH	C1CCN(CC1)CCC(=O)C2=CC=CC=C2.Cl
WNX1&1QNW	CC(CO)([N+](=O)[O-])[N+](=O)[O-]
NCYGU1	C=C(C#N)Cl
3OPO3&O3	CCCOP(OCCC)OCCC
ZMV8VMZ	C(CCCCC(=O)NN)CCCC(=O)NN
NCS2G	C(CCl)SC#N
T5VNVJ B1	CN1C(=O)C=CC1=O
T5NVTJ AV1	CC(=O)N1CCCC1=O
T6NMVMVJ F1	CC1=NNC(=O)NC1=O
T6N DOTJ A- AL5UTJ	C1CC=C(C1)N2CCOCC2
QR DQ BV2	CCC(=O)C1=C(C=CC(=C1)O)O
G-SI-GG2R	C1=CC=C(C=C1)CC[Si](Cl)(Cl)Cl
WNR DVOQ	C1=CC(=CC=C1C(=O)OO)[N+](=O)[O-]
T C666 BO ISJ IO	C1=CC=C2C(=C1)OC3=CC=CC=C3S2=O
T6N DOTJ AV1SR	C1COCCN1C(=S)CC2=CC=CC=C2
L D6 B666J MQ	C1=CC=C2C=C3C4=CC=CC=C4C(=CC3=CC2=C1)O
T C666 BN ISJ B3N1&1 EG IO	CN(C)CCCN1C2=CC=CC=C2S(=O)C3=C1C=C(C=C3)Cl
1X1&1&R DOPO&OR&OR	CC(C)(C)C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3
T5SWTJ B1 D1	CC1CC(S(=O)(=O)C1)C
T66 BNJ C2Q	C1=CC=C2C(=C1)C=CC(=N2)CCO
T6N CN ENJ BM1Q DM1Q FM1Q	C(NC1=NC(=NC(=N1)NCO)NCO)O
4OPO&R&O4	CCCCOP(=O)(C1=CC=CC=C1)OCCCC
T56 BN DN FNVNVJ B1 F1 HY2&2	CC(C)CCN1C(=O)C2=C(N=CN2C)N(C1=O)C
T6NTJ A2VR DO1 &GH	COC1=CC=C(C=C1)C(=O)CCN2CCCCC2.Cl
T C666 BN ISJ B3N1&1 ES1	CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)SC
T6NJ AO C1 DNW	CC1=C(C=C[N+](=C1)[O-])[N+](=O)[O-]
T56 BM DN FNVMVJ F1	CN1C2=C(C(=O)NC1=O)NC=N2
QR B2UY1&1	CC(=CCC1=CC=CC=C1O)C
T56 BSJ D1VQ	C1=CC=C2C(=C1)C(=CS2)CC(=O)O
T56 BN DN FNVNVJ B1 F1 H4	CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C
4N4&V2	CCCCN(CCCC)C(=O)CC
T6O BUTJ FCN	C1CC(OC=C1)C#N
T6N CNJ BZ DQ FG	C1=C(N=C(NC1=O)N)Cl
ZX1&1&1R &GH	CC(C)(CC1=CC=CC=C1)N.Cl
VHR DN2G2G	C1=CC(=CC=C1C=O)N(CCCl)CCCl
WSR&SR	C1=CC=C(C=C1)SS(=O)(=O)C2=CC=CC=C2
T6NTJ A3VR DF& DVN1&1 DR DG	CN(C)C(=O)C1(CCN(CC1)CCCC(=O)C2=CC=C(C=C2)F)C3=CC=C(C=C3)Cl
T6NNJ CG FS1VN2&2	CCN(CC)C(=O)CSC1=NN=C(C=C1)Cl
4O1YQ1OR	CCCCOCC(COC1=CC=CC=C1)O
T6N DNTJ AYR&R& D2O2Q	C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=CC=C3
T6VN DSWTJ B1 CR CG DG	CN1C(S(=O)(=O)CCC1=O)C2=CC(=C(C=C2)Cl)Cl
/QR DX1&1&1X1&1&1/ &/*O2*/ &/*O1*/	CC(C)(C)CC(C)(C)C1=CC=C(C=C1)O.C=O.C1CO1
Z2R CO1 DO1 &GH	COC1=C(C=C(C=C1)CCN)OC.Cl
Z2R CO1 DO1 EO1 &GH	COC1=CC(=CC(=C1OC)OC)CCN.Cl
Z3YZVQ &GH -L	C(CC(C(=O)O)N)CN.Cl
Q1X1Q1G1G	C(C(CO)(CCl)CCl)O
T C666 BN ISJ B3N2&2 EG &GH	CCN(CC)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl.Cl
T66 BN ENJ BO EO	C1=CC=C2C(=C1)N(C=C[N+]2=O)[O-]
T6OBOTJ BR D1& E3 E1	B1(OCC(CO1)(C)CCC)C2=CC=C(C=C2)C
T6KTJ A1 A1 COVXQR&R &E	C[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C.[Br-]
T E5 C665 FVO NO PO OHTT&&J DR CO1 DO1 EO1& JQ	COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O
ZMVR DZ BQ	C1=CC(=C(C=C1N)O)C(=O)NN
T6NTJ AYUS & SH & T6MTJ	C1CCNCC1.C1CCN(CC1)C(=S)S
T66 BNJ HO1 JM2MY2&2 &EH 2	CCC(CC)NCCNC1=C2C(=CC(=C1)OC)C=CC=N2.Br
T C666 BN ISJ BYUS&S2N2&2	CCN(CC)CCSC(=S)N1C2=CC=CC=C2SC3=CC=CC=C31
T5NNVJ A1 BR& DMVH E1	CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC=O
T6NJ BVMZ DG	C1=CN=C(C=C1Cl)C(=O)NN
T5NNSJ EVMZ	C1=C(N=NS1)C(=O)NN
T C666 BO EV INJ DVO1 FZ NVO1	COC(=O)C1=C2C(=CC=C1)N=C3C=C(C(=O)C(=C3O2)C(=O)OC)N
L C666 BV IVJ DQ EO1 FQ GQ KQ M1	CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C(=C(C(=C3O)O)OC)O
T C666 BS IVJ DO1 GM2N2&2	CCN(CC)CCNC1=C2C(=C(C=C1)OC)SC3=CC=CC=C3C2=O
L6V DYJ BG DUNR DN1&1	CN(C)C1=CC=C(C=C1)N=C2C=CC(=O)C(=C2)Cl
T7NVTJ A- BT6NJ	C1CCC(=O)N(CC1)C2=CC=CC=N2
T B666 CN NNJ EVQ FQ HO1	COC1=C2C(=C3C(=C1)C=CC=N3)NC=C(C2=O)C(=O)O
T6NNVJ BR& DG EG	C1=CC=C(C=C1)N2C(=O)C(=C(C=N2)Cl)Cl
T C666 DVN GNJ EZ	C1=CC=C2C=C3C(=CC2=C1)C(=O)N(C=N3)N
T C666 BO IHJ IQ	C1=CC=C2C(=C1)C(C3=CC=CC=C3O2)O
T C666 BO IVJ EG D1- AT6N DOTJ	C1=CC=C2C(=C1)C(C3=CC=CC=C3O2)O
GYGVR	C1=CC=C(C=C1)C(=O)C(Cl)Cl
ZVR BQ XE	C1=CC(=C(C=C1Br)C(=O)N)O
T5SYNV EHJ BUS C1	CN1C(=O)CSC1=S
ZPZO&R	C1=CC=C(C=C1)P(=O)(N)N
WNR C-AS-QQO	C1=CC(=CC(=C1)[As](=O)(O)O)[N+](=O)[O-]
T6NJ D2Q	C1=CN=CC=C1CCO
WNR DG CVH	C1=CC(=C(C=C1[N+](=O)[O-])C=O)Cl
T6N CNJ BZ DVQ E1 FZ	CC1=C(N=C(N=C1N)N)C(=O)O
T66 BSWN EN GN INJ E1 HS1 JZ	CN1C=NS(=O)(=O)C2=C(N=C(N=C21)SC)N
T56 AN DNJ BVQ	C1=CC2=NC=C(N2C=C1)C(=O)O
T56 BM DN FNVNVJ F1 H1 C4- CT56 BM DNJ	CN1C2=C(C(=O)N(C1=O)C)NC(=N2)CCCCC3=NC4=CC=CC=C4N3
T6MVMVJ ENUM	C1=C(C(=O)NC(=N1)[O-])[N+]#N
T56 BM DNJ CMVM1	CNC(=O)NC1=NC2=CC=CC=C2N1
