T6N CNJ BS1VQ DMR B1 C1& FG	Cc1cccc(c1C)Nc2cc(nc(n2)SCC(=O)O)Cl
ZYZUM &&HCl	C(=N)(N)N.Cl
QVR BG FG	c1cc(c(c(c1)Cl)C(=O)O)Cl
QVR BG CG FG	c1cc(c(c(c1Cl)C(=O)O)Cl)Cl
QVR BG CG	c1cc(c(c(c1)Cl)Cl)C(=O)O
QVR BQ D1	Cc1ccc(c(c1)O)C(=O)O
T6NVMVJ E1 A- ET5OTJ B1Q CQ &&Ribo Form	Cc1cn(c(=O)[nH]c1=O)[C@H]2C[C@@H]([C@H](O2)CO)O
QVR CG EG	c1c(cc(cc1Cl)Cl)C(=O)O
1N1&1N1&1	CN(C)CN(C)C
T6NJ DVQ	c1cnccc1C(=O)O
ZY1&VQ &&L or S Form	C[C@@H](C(=O)O)N
QV1YQ1K1&1&1 &&Anhydro HCl	C[N+](C)(C)CC(CC(=O)O)O.[Cl-]
T6NJ B1 CQ D1Q E1Q &&HCl	Cc1c(c(c(cn1)CO)CO)O.Cl
T56 BN DN FN HNJ IQ D- BT5OTJ CQ DQ E1Q &&beta-D-Ribo Form	c1nc2c(c(n1)O)ncn2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O
T6NVMVJ A- BT5OTJ CQ DQ E1Q &&beta-D-Ribo Form	c1cn(c(=O)[nH]c1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O
Q2R	c1ccc(cc1)CCO
QVYZ1Y1&1 &&L or S Form	CC(C)C[C@@H](C(=O)O)N
QV1N1VQ2N1VQ1VQ &&Ca 2Na salt	C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Ca+2]
2K2&2&2OR BO2K2&2&2 CO2K2&2&2 &&3I-	CC[N+](CC)(CC)CCOc1cccc(c1OCC[N+](CC)(CC)CC)OCC[N+](CC)(CC)CC.[I-].[I-].[I-]
T6VMVMV FHJ	C1C(=O)NC(=O)NC1=O
T5OMVTJ DZ &&D or (4R)- Form	C1[C@H](C(=O)NO1)N
L E5 B666 OV MUTJ A1 E1 FV1 FQ &&17alpha	CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O
ZSWR D1	Cc1ccc(cc1)S(=O)(=O)N
QY1&VQ &&Na salt	CC(C(=O)[O-])O.[Na+]
QVYZY1&1 &&L or S Form	CC(C)[C@@H](C(=O)O)N
QY1&YZVQ &&L or (2S,3R)- Form	C[C@H]([C@@H](C(=O)O)N)O
GYGYR D2&R D2	CCc1ccc(cc1)C(c2ccc(cc2)CC)C(Cl)Cl
QVYZY2&1 &&(2S,3S)- or L(+)- Form	CC[C@H](C)[C@@H](C(=O)O)N
2N2&1VMR B1 F1 &&HCl	CCN(CC)CC(=O)Nc1c(cccc1C)C.Cl
QVYZ3MYZUM &&L or S Form	C(C[C@@H](C(=O)O)N)CNC(=N)N
1U1	C=C
G1E	ClCBr
T5NN DNJ A1X4&CN&R DG	CCCCC(Cn1cncn1)(C#N)c2ccc(cc2)Cl
F1U1	C=CF
NC1	CC#N
T3OTJ	C1CO1
WN1	C[N+](=O)[O-]
GXGGF	C(F)(Cl)(Cl)Cl
G-SI-1&1&1	C[Si](C)(C)Cl
FXFFXFFF	C(C(F)(F)F)(F)(F)F
GR DX1&R&O2N1&1	CC(c1ccccc1)(c2ccc(cc2)Cl)OCCN(C)C
L5 AHJ AG AG BG CG DG EG	C1(=C(C(C(=C1Cl)Cl)(Cl)Cl)Cl)Cl
Q1XZ1Q1Q	C(C(CO)(CO)N)O
4OV1XVO4&OV1&1OV4	CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C
2K2&2&2 &&OH-	CC[N+](CC)(CC)CC.[OH-]
Q1X2&1Q1Q	CCC(CO)(CO)CO
SH2VQ	C(CS)C(=O)O
2O-SI-O2&O2&1U1	CCO[Si](C=C)(OCC)OCC
L6V BUTJ C1 E1 E1	CC1=CC(=O)CC(C1)(C)C
1X1&1&OOX1&1&2X1&1&OOX1&1&1	CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C
Q2K1&1&1 &&HCO3-	C[N+](C)(C)CCO.C(=O)(O)[O-]
GY2&1	CCC(C)Cl
WN2	CC[N+](=O)[O-]
GYFUYFF	C(=C(F)Cl)(F)F
GXFFYFUYFF	C(=C(F)F)(C(F)(F)Cl)F
G-SI-GR&R	c1ccc(cc1)[Si](c2ccccc2)(Cl)Cl
2MSWR D1	CCNS(=O)(=O)c1ccc(cc1)C
