2M4M2U2M2U2M2	CHEMBL128765
Z6M2SS2M6Z	CHEMBL132133
Z3M4M3MV2VM3M4M3Z	CHEMBL131234
QV7U3O9	CHEMBL130737
2M4M2U2M4M2	CHEMBL131344
Z3M4M3MV1	CHEMBL131004
2M4M2U2M2U2M4M2	CHEMBL131642
Z3M4M3MV7VM3M4M3Z	CHEMBL132383
Z3M4M3MV4VM3M4M3Z	CHEMBL132113
QV2U3U6U6	CHEMBL132218
11H	CHEMBL132474
2M4M2U2M2U2M2U2M2	CHEMBL133445
2M4M4M4M2U2M2	CHEMBL133756
8H	CHEMBL134886
2M4M4M2U2M4M2	CHEMBL133869
4M4M4M4M4M2	CHEMBL134809
16H	CHEMBL134994
2M2U2M4M2U2M2U2M2	CHEMBL134431
2M2U2M2U2M2U2M2U2M2	CHEMBL133504
4H	CHEMBL134702
10H	CHEMBL134537
2M4M4M2U2M2U2M2	CHEMBL134384
7H	CHEMBL134658
2H	CHEMBL135626
ZMVMQ	CHEMBL134941
2M4M2U2M4M2U2M2	CHEMBL135120
5MVM5U7VMSW1	CHEMBL3322803
QV1O5U5MVM5	CHEMBL3322828
14H	CHEMBL135488
3H	CHEMBL135416
E2OV15	CHEMBL137527
13H	CHEMBL135694
Q4UU2UU2U2U7	CHEMBL138035
16OV1	CHEMBL137354
Z2M2M2M2Z	CHEMBL138297
G2OV15	CHEMBL137097
QV7VQ	CHEMBL1238
Q4UU2UU2U2U1V5	CHEMBL137923
QV1M5	CHEMBL139493
NC1M5	CHEMBL139751
16OV2	CHEMBL138543
NN	CHEMBL142438
Q4UU2UU1V1U8	CHEMBL141649
Z1V2VO2O2O2 &GH	CHEMBL141657
E	CHEMBL140812
Z1V2VO2O1 &GH	CHEMBL142977
2M3M2U2M3M2	CHEMBL142464
O1	CHEMBL1255
2M3M2UU2M3M2	CHEMBL142513
Z1V2VO2O2 &GH	CHEMBL141492
F	CHEMBL1248
2M3M2U2M3M2	CHEMBL143725
I	CHEMBL1249
QM1	CHEMBL144761
Z1V2VO2O2O2O2 &GH	CHEMBL145139
Q5MV4U3U3U3U6	CHEMBL145737
QVVQ	CHEMBL146755
QV1O2Q	CHEMBL147714
ZSWO2	CHEMBL149514
Z3SWQ	CHEMBL149082
